koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
FALSE POSITIVE,0,0,1,1,2.99540439,1.35E-05,-1.35E-05,132.78128,0.00305,-0.00305,1.179,1.284,-0.128,6.172,0.17,-0.17,223.2,5.8,-5.8,65.37,11.07,-25.81,2195,5493.46,3148.36,-3753.83,45.6,1,6106,218,-218,3.633,0.345,-0.115,3.09,0.523,-1.22,299.12851,41.58754,13.173
FALSE POSITIVE,0,1,0,0,0.784031658,1.00E-06,-1.00E-06,133.38391,0.001,-0.001,0.102,0.356,-0.102,0.7773,0.0515,-0.0515,352.2,18.6,-18.6,1.55,0.32,-0.11,1705,1995.65,1336.95,-468.82,28.2,1,5435,179,-163,4.578,0.027,-0.144,0.824,0.174,-0.058,294.13202,39.981979,15.479
CONFIRMED,0,0,0,0,31.0033072,0.0001895,-0.0001895,143.29085,0.00408,-0.00408,0.151,0.294,-0.151,5.253,0.142,-0.142,645.2,33.5,-33.5,2.72,0.72,-0.31,616,34.03,27.86,-11.22,22.1,1,6090,193,-236,4.447,0.058,-0.173,1.071,0.286,-0.122,291.26974,42.096039,15.898
CANDIDATE,0,0,0,0,19.18109525,9.15E-05,-9.15E-05,141.37097,0.00364,-0.00364,0.007,0.421,-0.007,2.424,0.104,-0.104,865.4,55.7,-55.7,1.72,0.09,-0.1,513,16.42,4.31,-3.51,17.6,1,5214,172,-156,4.673,0.059,-0.027,0.587,0.031,-0.034,301.08572,44.380192,15.73
FALSE POSITIVE,0,0,0,1,1.213742728,8.82E-06,-8.82E-06,131.74123,0.00779,-0.00779,0.627,0.056,-0.47,3.596,0.198,-0.198,31.7,1.9,-1.9,1.18,0.25,-0.38,2599,10804.6,6649.07,-6360.33,20.3,1,6532,156,-195,3.961,0.266,-0.114,1.987,0.422,-0.633,283.66428,47.40097,13.203
CANDIDATE,0,0,0,0,225.48805,0.01866,-0.01866,224.2023,0.0772,-0.0772,0.817,0.024,-0.568,19.46,2.3,-2.3,379.9,42.1,-42.1,1.7,0.43,-0.14,267,1.2,0.9,-0.3,11.6,1,5663,169,-152,4.579,0.04,-0.16,0.782,0.194,-0.065,288.27457,47.495781,15.306
FALSE POSITIVE,1,0,0,0,366.74866,0.01903,-0.01903,308.3136,0.0376,-0.0376,0.663,0.284,-0.439,12.446,0.874,-0.874,419.1,54.9,-54.9,2.35,0.75,-0.38,281,1.48,1.44,-0.57,9.1,1,6136,190,-212,4.368,0.108,-0.201,1.087,0.347,-0.174,291.46838,47.4674,15.216
FALSE POSITIVE,1,0,1,1,0.93374894,1.45E-05,-1.45E-05,131.526,0.0153,-0.0153,0.457,0.028,-0.457,4.637,0.67,-0.67,226.2,40.6,-40.6,0.18,0,0,433,8.36,0,0,9.3,1,2661,0,0,5.283,0,0,0.116,0,0,292.11115,47.452293,13.81
FALSE POSITIVE,0,1,0,1,0.734548624,5.68E-06,-5.68E-06,132.16826,0.00906,-0.00906,0.747,0.013,-0.548,2.207,0.166,-0.166,58.6,3,-3,0.84,0.26,-0.09,2082,4454.22,4156.44,-1315.92,25.1,1,6046,169,-190,4.478,0.054,-0.216,1.007,0.318,-0.106,280.90179,47.526241,13.594
FALSE POSITIVE,1,0,0,0,317.99484,0.01131,-0.01131,393.0306,0.0212,-0.0212,0.405,0.042,-0.405,7.28,1.1,-1.1,719,118,-118,2.22,0.58,-0.2,241,0.79,0.64,-0.2,8.4,1,5665,169,-169,4.568,0.031,-0.178,0.82,0.216,-0.072,292.96835,40.954239,15.181
FALSE POSITIVE,1,0,0,0,614.39054,0.01691,-0.01691,332.5045,0.0208,-0.0208,0.11,0.356,-0.11,9.312,0.856,-0.856,289.1,34.3,-34.3,2.43,0.45,-0.44,269,1.24,0.58,-0.45,10.2,1,6228,74,-80,4.193,0.149,-0.122,1.427,0.262,-0.262,292.06931,41.042858,13.541
CANDIDATE,0,0,0,0,578.88761,0.02197,-0.02197,219.2878,0.023,-0.023,0.24,0.212,-0.24,18.521,0.959,-0.959,76.8,5.8,-5.8,1.69,0.45,-0.67,315,2.32,1.88,-1.6,15.1,1,6180,195,-238,3.946,0.405,-0.135,1.917,0.507,-0.76,295.08749,41.037395,11.402
FALSE POSITIVE,1,0,0,0,238.561202,0.00775,-0.00775,273.2378,0.0257,-0.0257,0.732,0.201,-0.493,11.9,1.3,-1.3,260.2,19.9,-19.9,5.75,0.96,-2.41,568,24.55,12.7,-17.32,16.4,6,6565,178,-218,3.573,0.345,-0.115,3.308,0.555,-1.387,297.44507,41.010571,12.995
CANDIDATE,0,0,0,0,218.771117,0.002818,-0.002818,250.92469,0.00869,-0.00869,0.95,0.008,-0.656,3.201,0.344,-0.344,140.1,21,-21,250.2,8.2,-26.25,1997,3757.91,711.61,-1065.95,8.4,1,3297,91,-91,0.236,0.027,-0.033,151.184,4.956,-15.859,285.29388,41.1026,12.429
FALSE POSITIVE,1,0,0,0,370.2402,0.0205,-0.0205,307.3322,0.0289,-0.0289,1.239,7.056,-0.341,31.46,2.2,-2.2,1272.6,76.7,-76.7,29.24,9.23,-3.09,270,1.26,1.17,-0.39,20.5,1,6296,169,-226,4.481,0.052,-0.208,0.966,0.305,-0.102,291.29425,47.944511,15.59
FALSE POSITIVE,0,1,1,1,1.6749812,1.80E-05,-1.80E-05,131.79288,0.00924,-0.00924,0.382,0.077,-0.382,2.707,0.411,-0.411,94,13.1,-13.1,79.51,10.46,-19.41,8986,1540745.8,561012.86,-715515.02,8.9,1,3940,63,-63,0.76,0.137,-0.112,84.461,11.105,-20.623,293.57895,48.00602,11.709
FALSE POSITIVE,1,0,0,0,307.9473572,0.02778,-0.02778,316.0192261,0.1,-0.1,0.966,6.793,-0.293,15,4.4,-4.4,11296,963,-963,76.66,47.57,-25.6,492,13.83,27.06,-8.26,16.5,7,4878,147,-117,3.08,0.413,-0.413,4.461,2.768,-1.49,297.23099,48.223919,14.092
FALSE POSITIVE,1,0,0,0,277.25118,0.01269,-0.01269,400.0395,0.0322,-0.0322,0.932,0.029,-0.642,8.742,0.49,-0.49,1517.4,97.9,-97.9,5.02,1.36,-0.91,304,2.02,1.61,-0.81,15.3,1,6046,164,-164,4.357,0.136,-0.187,1.048,0.285,-0.19,284.74127,48.34367,12.349
FALSE POSITIVE,0,1,0,0,1.560158562,3.32E-07,-3.32E-07,132.368518,0.000178,-0.000178,0.712,0.065,-0.054,3.4248,0.0107,-0.0107,240160,615,-615,45.91,3.86,-4.72,1223,530.79,163.2,-152.6,459.9,1,4926,133,-148,4.548,0.072,-0.044,0.749,0.063,-0.077,286.65768,40.02726,13.871
FALSE POSITIVE,0,1,0,1,8.65311903,6.04E-05,-6.04E-05,134.30128,0.00627,-0.00627,0.701,0.25,-0.457,1.273,0.365,-0.365,206.8,41.7,-41.7,0.85,0.03,-0.05,493,13.95,2.36,-2.44,8.9,1,3929,70,-78,4.705,0.027,-0.02,0.55,0.024,-0.03,289.08875,40.018162,15.109
FALSE POSITIVE,0,0,1,1,1.288046428,9.27E-06,-9.27E-06,132.00088,0.00763,-0.00763,0.219,0.249,-0.219,3.637,0.171,-0.171,32.3,1.9,-1.9,2.18,0.48,-0.39,2945,17822.99,9957.03,-6335.25,20.3,1,5216,67,-62,3.287,0.143,-0.13,3.871,0.84,-0.688,291.05292,40.44767,12.479
FALSE POSITIVE,0,1,0,0,3.457078812,8.00E-08,-8.00E-08,131.8058069,1.93E-05,-1.93E-05,0.317,0.006,-0.001,5.24058,0.0025,-0.0025,315520,39.9,-39.9,86.12,25.69,-21.03,1603,1560.4,1373.7,-798.11,6009,1,6526,181,-250,4.182,0.18,-0.18,1.482,0.442,-0.362,295.49411,40.406204,13.585
FALSE POSITIVE,1,0,1,0,0.776950288,2.03E-06,-2.03E-06,132.0396,0.00246,-0.00246,0.047,0.405,-0.047,1.288,0.0605,-0.0605,396,18.6,-18.6,1.72,0.52,-0.17,1882,2974.07,2726.23,-888.99,25.8,1,5861,186,-206,4.546,0.036,-0.204,0.865,0.26,-0.087,292.67294,38.58997,15.832
FALSE POSITIVE,1,0,1,0,358.96247,0.03624,-0.03624,295.9933,0.0583,-0.0583,0.424,0.026,-0.424,23.49,2,-2,670.8,67,-67,2.37,0.72,-0.23,242,0.81,0.73,-0.23,12.1,1,5743,156,-190,4.527,0.048,-0.204,0.904,0.275,-0.086,291.19559,38.788078,15.389
FALSE POSITIVE,1,0,1,0,358.96844,0.02922,-0.02922,295.8289,0.0473,-0.0473,0.151,0.302,-0.151,21.71,1.4,-1.4,807.8,70.4,-70.4,2.7,0.7,-0.3,263,1.13,0.86,-0.35,13.3,1,6117,170,-212,4.496,0.046,-0.184,0.947,0.244,-0.104,291.2276,38.771351,15.36
CANDIDATE,0,0,0,0,8.4795266,0.000354,-0.000354,138.1276,0.0409,-0.0409,0.136,0.325,-0.136,6.052,0.9,-0.9,163.3,24.2,-24.2,1.18,0.33,-0.11,865,132.02,109.18,-39.3,8,1,5841,163,-225,4.52,0.046,-0.196,0.931,0.26,-0.087,290.81589,38.970921,15.994
CONFIRMED,0,0,0,0,7.76845639,4.11E-05,-4.11E-05,138.06602,0.00403,-0.00403,0.353,0.124,-0.353,3.689,0.128,-0.128,217.8,10.2,-10.2,1.35,0.15,-0.1,841,118.09,36.6,-21.63,23.6,1,5447,81,-81,4.481,0.053,-0.098,0.917,0.102,-0.063,293.30023,41.523338,14.8
FALSE POSITIVE,1,0,1,1,2.404556949,3.73E-06,-3.73E-06,131.67616,0.00144,-0.00144,0.97,0.001,-0.001,7.4918,0.0742,-0.0742,408.7,3.7,-3.7,4.69,1.08,-1.33,1958,3474.41,2393.2,-1876.71,147.1,1,6426,175,-175,4.013,0.259,-0.13,1.775,0.411,-0.503,293.21356,46.175129,13.474
FALSE POSITIVE,0,0,1,0,0.941603153,9.25E-07,-9.25E-07,132.976171,0.000814,-0.000814,0.93,0.003,-0.657,1.1886,0.0284,-0.0284,462.1,11.9,-11.9,2.29,0.35,-0.29,1608,1575.78,788.16,-509.55,46.2,1,5237,158,-158,4.481,0.096,-0.12,0.837,0.129,-0.105,293.06598,38.042011,14.834
CANDIDATE,0,0,0,0,7.16520428,2.67E-05,-2.67E-05,132.96921,0.00302,-0.00302,0.142,0.315,-0.142,1.705,0.108,-0.108,433.8,29,-29,2.31,0.74,-0.27,1034,270.34,259.4,-92.5,17.6,1,6174,173,-260,4.417,0.054,-0.216,1.103,0.358,-0.128,298.08453,40.283249,15.302
FALSE POSITIVE,0,0,1,0,22.32423657,9.44E-05,-9.44E-05,134.44763,0.00366,-0.00366,0.965,0.859,-0.035,3.669,0.17,-0.17,1299.3,56,-56,4.56,1.21,-0.52,611,32.87,26.35,-10.02,29.9,1,5648,169,-169,4.489,0.062,-0.188,0.912,0.242,-0.104,292.63052,45.574219,15.612
FALSE POSITIVE,1,0,0,0,375.408923,0.009458,-0.009458,364.4869,0.0235,-0.0235,0.529,0.023,-0.441,11.438,0.401,-0.401,87.3,6.4,-6.4,4.48,0.41,-2.47,858,128.15,39.46,-107.31,15.3,1,11357,265,-575,3.667,0.495,-0.055,4.528,0.417,-2.502,284.34103,47.55378,10.25
FALSE POSITIVE,0,0,0,1,2.17812769,1.69E-05,-1.69E-05,132.02922,0.00552,-0.00552,0.533,0.063,-0.438,1.645,0.209,-0.209,61.7,7.3,-7.3,0.78,0.24,-0.08,1421,963.16,884,-287.41,10.4,1,6014,162,-198,4.494,0.054,-0.216,0.958,0.3,-0.1,288.61859,47.557201,14.358
FALSE POSITIVE,1,0,1,1,0.93373895,2.66E-05,-2.66E-05,132.4707,0.0304,-0.0304,0.259,0.226,-0.259,4.156,0.515,-0.515,39.6,4.7,-4.7,0.64,0.21,-0.07,1993,3723.37,3729.13,-1153.35,10.5,1,6223,188,-206,4.459,0.056,-0.224,1.006,0.335,-0.112,292.13193,47.56374,15.194
FALSE POSITIVE,0,0,1,1,0.93373718,1.20E-05,-1.20E-05,132.4634,0.0119,-0.0119,0.29,0.167,-0.29,2.582,0.321,-0.321,18.9,2.9,-2.9,0.48,0.14,-0.06,2097,4570.22,3788.06,-1414.86,8.4,1,6367,141,-188,4.419,0.062,-0.188,1.087,0.32,-0.128,292.15488,47.562019,13.685
CANDIDATE,0,0,0,0,359.33831,0.01173,-0.01173,152.5082,0.0309,-0.0309,0.176,0.279,-0.176,18.566,0.908,-0.908,977.9,71.7,-71.7,2.33,0.31,-0.29,216,0.52,0.26,-0.17,15.8,1,5316,204,-186,4.539,0.085,-0.076,0.753,0.102,-0.092,290.14304,41.27755,15.825
FALSE POSITIVE,1,0,0,0,213.201978,0.006632,-0.006632,309.9395,0.0279,-0.0279,0.214,0.241,-0.214,15.396,0.839,-0.839,696.9,62.1,-62.1,1.91,0.08,-0.16,221,0.56,0.13,-0.14,12.9,1,4594,138,-138,4.557,0.06,-0.02,0.752,0.031,-0.062,290.2196,41.246811,15.599
FALSE POSITIVE,1,0,0,0,77.773042,0.001091,-0.001091,168.8387,0.0122,-0.0122,0.558,0.412,-0.349,2.285,0.391,-0.391,432.6,72.4,-72.4,15.03,3.13,-0.52,955,196.5,109.88,-19.91,7.7,1,4763,79,-43,2.685,0.03,-0.03,7.068,1.472,-0.245,290.71783,41.247318,12.393
FALSE POSITIVE,1,0,0,0,381.782641,0.007263,-0.007263,241.1226,0.0115,-0.0115,1.204,7.005,-0.048,4.52,1.1,-1.1,367.6,60.1,-60.1,55.75,10.56,-21.13,384,5.12,3.03,-3.35,8.6,1,6056,183,-165,3.816,0.3,-0.1,2.29,0.434,-0.868,292.19037,41.31144,12.428
FALSE POSITIVE,1,0,0,0,354.7897,0.134,-0.134,434.394,0.156,-0.156,0.449,0.02,-0.449,12.62,7.7,-7.7,81,10.5,-10.5,0.47,0.04,-0.07,134,0.08,0.02,-0.03,9.2,1,3778,76,-83,4.742,0.071,-0.038,0.515,0.048,-0.071,293.96423,41.318802,10.067
FALSE POSITIVE,1,0,0,0,235.544698,0.008229,-0.008229,191.2774,0.0224,-0.0224,0.005,0.453,-0.005,8.93,0.825,-0.825,299.3,35.9,-35.9,2.13,0.55,-0.55,316,2.36,1.84,-1.21,9.2,1,5533,166,-166,4.244,0.22,-0.16,1.255,0.325,-0.325,284.93216,41.45401,14.489
FALSE POSITIVE,1,0,0,0,293.38641,0.01811,-0.01811,308.6624,0.0349,-0.0349,0.537,0.415,-0.324,15.23,3.3,-3.3,94.9,6.9,-6.9,1.35,0.39,-0.31,347,3.43,2.91,-1.69,13.4,1,6392,181,-227,4.213,0.185,-0.185,1.34,0.382,-0.313,284.79071,49.125359,11.097
FALSE POSITIVE,1,0,0,0,677.56282,0.03286,-0.03286,214.2391,0.0445,-0.0445,0.537,0.438,-0.323,10.53,2.4,-2.4,631,119,-119,2.24,0.51,-0.27,190,0.31,0.22,-0.1,8.5,1,5511,166,-166,4.477,0.096,-0.144,0.872,0.196,-0.105,290.47623,49.20261,15.721
CANDIDATE,0,0,0,0,66.716453,0.001938,-0.001938,150.0569,0.0244,-0.0244,0.548,0.006,-0.488,3.855,0.912,-0.912,626,125,-125,2.2,0.48,-0.23,402,6.18,4.14,-1.83,8.1,1,5447,164,-164,4.506,0.074,-0.137,0.859,0.187,-0.093,286.79462,49.347591,15.968
FALSE POSITIVE,1,0,0,0,371.21205,0.02212,-0.02212,307.6693,0.0542,-0.0542,0.357,0.116,-0.357,19.95,1.6,-1.6,719.9,68.1,-68.1,2.55,0.81,-0.28,259,1.07,1.01,-0.35,12.9,1,6106,191,-233,4.497,0.054,-0.216,0.94,0.295,-0.105,288.81409,49.35561,15.402
FALSE POSITIVE,1,0,0,0,190.783023,0.005017,-0.005017,213.6601,0.0121,-0.0121,0.088,0.384,-0.088,4.069,0.42,-0.42,1385,177,-177,71.66,2.88,-25.96,989,226.51,38.74,-154.58,9.5,1,5013,100,-301,2.394,0.039,-0.024,19.813,0.797,-7.176,292.73511,49.330639,13.716
FALSE POSITIVE,0,1,0,0,5.270733213,1.04E-06,-1.04E-06,136.180853,0.000169,-0.000169,0.428,1.166,-0.128,2.7822,0.0352,-0.0352,293640,1334,-1334,37.93,2.01,-3.47,693,54.59,14.81,-16.03,553,1,4348,151,-166,4.601,0.053,-0.021,0.678,0.036,-0.062,295.75555,40.61866,15.953
FALSE POSITIVE,1,0,0,0,11.02520205,1.41E-06,-1.41E-06,131.715631,0.000106,-0.000106,0.439,0.009,-0.004,12.8097,0.0064,-0.0064,429760,215,-215,164.02,52.48,-105,1294,663.18,652.98,-586.18,2585.5,1,6047,200,-164,3.724,0.72,-0.18,2.3,0.736,-1.472,295.43829,40.843578,12.113
CANDIDATE,0,0,0,0,219.20579,0.01466,-0.01466,327.891,0.038,-0.038,0.517,0.007,-0.467,14.5,1.5,-1.5,207.8,16.7,-16.7,2.66,0.85,-0.56,456,10.18,9.55,-4.89,15.2,1,6990,194,-305,4.115,0.148,-0.181,1.785,0.567,-0.378,295.31512,39.141048,12.449
FALSE POSITIVE,1,0,0,0,58.873429,0.002072,-0.002072,153.9076,0.045,-0.045,0,0.055,0,17.487,0.153,-0.153,226470,2519,-2519,76.18,25.46,-15.64,679,50.35,51.38,-23.84,106.8,1,7078,228,-314,4.192,0.128,-0.192,1.568,0.524,-0.322,295.49011,39.105862,14.048
CANDIDATE,0,0,0,0,23.266633,0.0004217,-0.0004217,132.4386,0.016,-0.016,0.092,0.357,-0.092,8.315,0.391,-0.391,49.9,4.9,-4.9,2.66,0.47,-0.86,1156,422.77,188.54,-242.01,11.4,1,5758,68,-94,3.456,0.224,-0.096,3.775,0.659,-1.224,288.86908,39.30986,13.047
FALSE POSITIVE,1,0,1,0,0.687506554,4.20E-06,-4.20E-06,131.85964,0.00499,-0.00499,0.085,0.372,-0.085,1.441,0.164,-0.164,130.3,12,-12,8.73,1.46,-0.25,4748,120304.4,51614.14,-11923.05,14.4,1,4643,55,-55,2.595,0.024,-0.033,7.906,1.325,-0.221,297.33377,39.44759,12.467
FALSE POSITIVE,1,0,0,0,472.071079,0.006206,-0.006206,310.7718,0.012,-0.012,0.388,0.075,-0.388,5.759,0.648,-0.648,252.6,53.5,-53.5,2.01,0.17,-0.08,268,1.22,0.3,-0.14,6.4,1,6186,83,-74,4.358,0.02,-0.064,1.253,0.109,-0.047,293.72528,39.511971,14.002
CONFIRMED,0,0,0,0,57.6896212,0.0003545,-0.0003545,139.92753,0.00527,-0.00527,0.924,0.034,-0.638,5.118,0.258,-0.258,1626.6,57.2,-57.2,5.14,1.54,-0.66,512,16.19,14.71,-5.81,30.2,1,6228,196,-261,4.441,0.065,-0.195,1.049,0.313,-0.134,293.29364,42.19635,15.886
CONFIRMED,0,0,0,0,12.90467523,7.14E-05,-7.14E-05,144.32009,0.00451,-0.00451,0.553,0.386,-0.338,3.28,0.131,-0.131,412.4,21.6,-21.6,1.49,0.04,-0.08,545,20.91,2.66,-3.44,21.2,1,4513,71,-80,4.574,0.048,-0.012,0.722,0.021,-0.038,291.34259,38.363129,15.07
CONFIRMED,0,0,0,0,24.3344939,0.0002829,-0.0002829,147.41892,0.00895,-0.00895,0.017,0.429,-0.017,6.557,0.261,-0.261,323.1,20.8,-20.8,1.74,0.51,-0.18,647,41.3,35.82,-12.53,18.1,1,6091,169,-211,4.487,0.05,-0.2,0.967,0.284,-0.101,296.89484,44.37178,15.373
CONFIRMED,0,0,0,0,0.984941669,3.07E-06,-3.07E-06,133.31801,0.0026,-0.0026,0.045,0.425,-0.045,1.9724,0.0763,-0.0763,81.4,4.1,-4.1,1.49,0.23,-0.34,2335,7044.68,2815.5,-3063.53,22.9,1,5825,79,-79,4.046,0.196,-0.084,1.662,0.252,-0.378,285.40494,49.99474,13.835
CONFIRMED,0,0,0,0,48.4313003,0.0003548,-0.0003548,141.45612,0.00592,-0.00592,0.846,0.072,-0.594,4.03,0.192,-0.192,886.4,58.9,-58.9,2.78,0.1,-0.19,396,5.81,0.82,-1.13,17.3,1,4891,78,-87,4.516,0.067,-0.018,0.805,0.028,-0.056,285.23245,48.806721,15.605
FALSE POSITIVE,0,0,1,1,0.9337491,1.47E-05,-1.47E-05,132.449,0.0147,-0.0147,0.084,0.398,-0.084,3.842,0.288,-0.288,98.1,9.4,-9.4,0.79,0.2,-0.06,1662,1809.26,1416.75,-482.6,12.6,1,5628,186,-186,4.575,0.04,-0.16,0.808,0.203,-0.068,292.08099,47.613461,15.958
FALSE POSITIVE,0,0,1,1,0.93374417,1.11E-05,-1.11E-05,132.44559,0.00991,-0.00991,0.277,0.189,-0.277,3.385,0.394,-0.394,31.3,4,-4,0.64,0.22,-0.07,2126,4835.58,4769.19,-1525.73,9.9,1,6363,153,-211,4.399,0.07,-0.21,1.131,0.389,-0.13,292.12277,47.646069,14.616
FALSE POSITIVE,0,0,1,1,0.9337465,1.48E-05,-1.48E-05,131.5267,0.0151,-0.0151,0.167,0.282,-0.167,3.629,0.324,-0.324,49.9,5.2,-5.2,0.63,0.19,-0.06,1863,2852.33,2737.51,-889.17,11.6,1,6102,214,-235,4.528,0.05,-0.2,0.887,0.272,-0.091,292.14102,47.62624,15.024
FALSE POSITIVE,0,0,1,1,0.93371631,1.66E-05,-1.66E-05,131.5435,0.0149,-0.0149,0.401,0.089,-0.401,4.344,0.421,-0.421,61.3,7.5,-7.5,0.7,0.19,-0.06,1743,2180.39,1781.13,-573.21,10.3,1,5734,156,-173,4.538,0.034,-0.184,0.883,0.245,-0.077,292.20523,47.6483,15.824
FALSE POSITIVE,1,0,0,0,260.02265,0.004021,-0.004021,329.8262,0.0111,-0.0111,0.842,0.078,-0.575,12.009,0.436,-0.436,2060.7,90.5,-90.5,3.13,0.29,-0.16,217,0.53,0.18,-0.11,25.7,6,5250,157,-141,4.684,0.032,-0.056,0.608,0.057,-0.031,290.51993,41.46513,14.288
FALSE POSITIVE,1,0,1,0,443.66,0.1137,-0.1137,523.348,0.337,-0.337,1.194,6.731,-0.166,7.99,3.4,-3.4,360.7,89.3,-89.3,33.2,6.72,-7.39,331,2.85,1.73,-1.35,6.3,1,6743,183,-224,4.144,0.198,-0.132,1.433,0.29,-0.319,298.46213,41.5256,11.765
FALSE POSITIVE,0,0,1,0,72.6549842,0.000512,-0.000512,170.59195,0.00581,-0.00581,1.141,7.133,-0.12,5.503,0.274,-0.274,389.3,20.3,-20.3,34.52,6.43,-11.03,699,56.33,31.17,-33.23,22.1,1,6793,170,-204,3.926,0.292,-0.097,1.96,0.365,-0.626,294.42145,41.8969,13.492
FALSE POSITIVE,1,0,0,0,379.42818,0.04297,-0.04297,358.9906,0.0345,-0.0345,0.006,0.424,-0.006,11.24,1.3,-1.3,403.9,43.8,-43.8,1.89,0.59,-0.19,252,0.95,0.86,-0.27,11.1,1,5947,160,-178,4.487,0.054,-0.216,0.945,0.294,-0.098,289.98419,41.918591,13.782
FALSE POSITIVE,1,0,0,0,371.90464,0.02426,-0.02426,308.9957,0.0387,-0.0387,0.922,0.007,-0.646,25.36,1.3,-1.3,519.1,40.7,-40.7,2.88,0.94,-0.31,271,1.28,1.27,-0.41,14.4,1,6164,193,-236,4.446,0.056,-0.21,1.045,0.341,-0.114,288.72406,49.466091,15.155
FALSE POSITIVE,1,0,0,0,362.85801,0.03497,-0.03497,152.6104,0.0928,-0.0928,0.626,0.344,-0.409,17.03,2.8,-2.8,151.6,19.4,-19.4,1.9,0.55,-0.45,353,3.66,3.03,-1.82,10.1,1,6740,163,-245,4.165,0.204,-0.167,1.471,0.425,-0.348,291.34402,49.577091,13.503
FALSE POSITIVE,1,0,0,0,384.558321,0.005443,-0.005443,160.73276,0.00912,-0.00912,0.947,0.012,-0.662,4.76,0.337,-0.337,1330,150,-150,14.33,6.46,-5.28,382,5.03,6.7,-3.2,10.1,1,5078,132,-112,3.479,0.352,-0.288,3,1.352,-1.106,284.10953,49.733379,13.822
FALSE POSITIVE,1,0,0,0,397.72733,0.02776,-0.02776,264.7499,0.0573,-0.0573,0.013,0.438,-0.013,11.683,0.955,-0.955,232.8,30.3,-30.3,1.48,0.46,-0.15,253,0.97,0.89,-0.29,9,1,6032,180,-198,4.485,0.05,-0.213,0.973,0.3,-0.1,290.60349,49.99242,14.209
FALSE POSITIVE,0,1,0,0,17.52782681,1.10E-06,-1.10E-06,144.5700534,5.04E-05,-5.04E-05,0.567,0.007,-0.009,5.78491,0.00262,-0.00262,347520,102,-102,49.36,4.85,-4.39,554,22.31,7.95,-5.69,2450.1,1,5079,151,-136,4.579,0.05,-0.05,0.732,0.072,-0.065,294.27908,41.436901,12.534
FALSE POSITIVE,0,1,1,0,0.604755462,9.89E-07,-9.89E-07,131.84831,0.00136,-0.00136,0.039,0.39,-0.039,1.3741,0.0506,-0.0506,334.5,10.4,-10.4,1.29,0.12,-0.09,1598,1534.24,539.51,-351.88,40.3,1,4842,144,-144,4.616,0.024,-0.06,0.726,0.07,-0.049,292.5015,41.549061,15.553
CANDIDATE,0,0,0,0,5.21395046,9.94E-05,-9.94E-05,135.7252,0.0166,-0.0166,0.195,0.252,-0.195,3.188,0.463,-0.463,78.5,11.4,-11.4,1.24,0.19,-0.27,1201,492.29,207.81,-205.99,8.6,1,5529,82,-71,4.123,0.217,-0.108,1.412,0.223,-0.307,281.5202,42.169472,14.43
FALSE POSITIVE,0,1,0,0,7.002865192,1.37E-07,-1.37E-07,136.013297,1.61E-05,-1.61E-05,0.358,0.003,0,5.90232,0.00127,-0.00127,349700,31.8,-31.8,75.09,27.48,-7.35,1197,486.09,513.04,-147.88,8168.6,1,6818,167,-262,4.357,0.056,-0.224,1.216,0.445,-0.119,288.36362,42.24807,13.934
CANDIDATE,0,0,0,0,455.62395,0.02622,-0.02622,581.8806,0.0239,-0.0239,0.335,0.126,-0.335,13.07,0.794,-0.794,1112.1,92.7,-92.7,3,0.87,-0.3,228,0.64,0.56,-0.19,14,1,5883,165,-206,4.53,0.048,-0.204,0.892,0.26,-0.087,295.93283,42.39669,15.975
FALSE POSITIVE,1,0,0,0,508.807642,0.005272,-0.005272,368.34861,0.00643,-0.00643,0.016,0.444,-0.016,4.495,0.242,-0.242,2127,162,-162,39.59,10.03,-1.11,595,29.54,21.74,-4.11,14.8,1,4893,124,-112,2.454,0.033,-0.03,8.811,2.232,-0.248,290.70056,39.799679,15.635
CANDIDATE,0,0,0,0,5.4398033,0.0001046,-0.0001046,135.1594,0.0169,-0.0169,0.136,0.319,-0.136,3.256,0.371,-0.371,85.5,12.3,-12.3,1,0.32,-0.12,1112,361.47,354.86,-122.83,8.4,1,6108,190,-253,4.43,0.054,-0.216,1.08,0.35,-0.125,290.46088,39.837212,14.829
FALSE POSITIVE,0,0,1,1,1.52593737,2.06E-05,-2.06E-05,132.6849,0.0113,-0.0113,0.681,0.259,-0.467,1.958,0.256,-0.256,159.1,20.4,-20.4,1.39,0.41,-0.17,1697,1963.41,1736.69,-695.61,9.6,1,6184,193,-257,4.448,0.062,-0.2,1.038,0.302,-0.13,295.31754,40.190639,14.943
